sku,url,tu_nombre_seller,nombre_producto,sku_patish,vgc
1159405903,https://www.liverpool.com.mx/tienda/pdp/producto/1159405903?skuid=1159405903,PATISH,Apple iPhone 11 6.1 pulgadas Retina Reacondicionado,4201070,
1156790024,https://www.liverpool.com.mx/tienda/pdp/producto/99972020320?skuid=1156790024,PATISH,Xiaomi redmi note 13 amoled 6.6 pulgadas nuevo,4201739,99972020320
1149983267,https://www.liverpool.com.mx/tienda/pdp/producto/1149983267?skuid=1149983267,PATISH,Xiaomi Redmi Note 13 AMOLED 6.6 pulgadas,4201741-,
1149922501,https://www.liverpool.com.mx/tienda/pdp/producto/1149922501?skuid=1149922501,PATISH,Xiaomi Redmi Note 13 Pro AMOLED 6.6 pulgadas,4201735-,
1159424011,https://www.liverpool.com.mx/tienda/pdp/producto/1159424011?skuid=1159424011,PATISH,Set de teléfonos Panasonic KX-TG153C 3 auriculares,4201613,
1159424720,https://www.liverpool.com.mx/tienda/pdp/producto/1159424720?skuid=1159424720,PATISH,Set de teléfonos Panasonic KX-TGF342CB 2 auriculares,4201819,
1129961216,https://www.liverpool.com.mx/tienda/pdp/producto/9951092281?skuid=1129961216,PATISH,Apple iPhone 13 6.1 pulgadas Super Retina XDR Reacondicionado,4201816-iPhone 13 128GB Rojo,9951092281
1142203321,https://www.liverpool.com.mx/tienda/pdp/producto/1142203321?skuid=1142203321,PATISH,Consola Xbox Series X de 1 TB edición estándar,Eliminado-40,
1159717484,https://www.liverpool.com.mx/tienda/pdp/producto/99973824007?skuid=1159717484,PATISH,Smartwatch Samsung Watch 5 reacondicionado,4201594,99973824007
1159717506,https://www.liverpool.com.mx/tienda/pdp/producto/99973824007?skuid=1159717506,PATISH,Smartwatch Samsung Watch 5 reacondicionado,4201593-Dorado 40mm,99973824007
1159717514,https://www.liverpool.com.mx/tienda/pdp/producto/99973824007?skuid=1159717514,PATISH,Smartwatch Samsung Watch 5 reacondicionado,4201590,99973824007
1159717492,https://www.liverpool.com.mx/tienda/pdp/producto/99973824007?skuid=1159717492,PATISH,Smartwatch Samsung Watch 5 reacondicionado,4201591,99973824007
1160013121,https://www.liverpool.com.mx/tienda/pdp/producto/1160013121?skuid=1160013121,PATISH,Samsung S23 Fe AMOLED 6.4 pulgadas,4201650_4200087,
1160013709,https://www.liverpool.com.mx/tienda/pdp/producto/99974049533?skuid=1160013709,PATISH,Apple MacBook 13.3 pulgadas M1 8 GB RAM 256 GB SSD,4202134_4200022,99974049533
1160014527,https://www.liverpool.com.mx/tienda/pdp/producto/99974049533?skuid=1160014527,PATISH,Apple MacBook 13.3 pulgadas M1 8 GB RAM 256 GB SSD,4202147_4200022,99974049533
1160013717,https://www.liverpool.com.mx/tienda/pdp/producto/99974049533?skuid=1160013717,PATISH,Apple MacBook 13.3 pulgadas M1 8 GB RAM 256 GB SSD,4202146_4200022,99974049533
1160013075,https://www.liverpool.com.mx/tienda/pdp/producto/99974050354?skuid=1160013075,PATISH,"Laptop apple macbook air m2 teclado en ingles 13.3 pulgadas wqxga apple m2 integradas 8 gb ""ram"" no tiene 256 gb ssd",4200980--,99974050354
1149354260,https://www.liverpool.com.mx/tienda/pdp/producto/99967561509?skuid=1149354260,PATISH,Motorola Moto G84 POLED 6.5 pulgadas,4201656,99967561509
1150262905,https://www.liverpool.com.mx/tienda/pdp/producto/1150262889?skuid=1150262905,PATISH,Samsung Galaxy A55 5G AMOLED 6.6 pulgadas Desbloqueado,Eliminado-28,1150262889
1150263421,https://www.liverpool.com.mx/tienda/pdp/producto/1150262889?skuid=1150263421,PATISH,Samsung Galaxy A55 5G AMOLED 6.6 pulgadas Desbloqueado,Eliminado-26,1150262889
1150263448,https://www.liverpool.com.mx/tienda/pdp/producto/1150262889?skuid=1150263448,PATISH,Samsung Galaxy A55 5G AMOLED 6.6 pulgadas Desbloqueado,Eliminado-27,1150262889
1158094670,https://www.liverpool.com.mx/tienda/pdp/producto/99972819171?skuid=1158094670,PATISH,Motorola G54 5g Esim LCD IPS 6.5 pulgadas,4201580,99972819171
1158094661,https://www.liverpool.com.mx/tienda/pdp/producto/99972819171?skuid=1158094661,PATISH,Motorola G54 5g Esim LCD IPS 6.5 pulgadas,4201581,99972819171
1160280120,https://www.liverpool.com.mx/tienda/pdp/producto/1160280120?skuid=1160280120,PATISH,Laptop gamer Hp 15-FA0033DX 15.6 pulgadas Full HD Intel Core i5 NVIDIA GeForce RTX 3050 8 GB RAM 512 GB SSD,4201586,
1160437053,https://www.liverpool.com.mx/tienda/pdp/producto/1160437053?skuid=1160437053,PATISH,Bocina portátil Harman Kardon Harman Kardon Onyx 7 inalámbrica,4201587_4200022,
1160331557,https://www.liverpool.com.mx/tienda/pdp/producto/1160331557?skuid=1160331557,PATISH,Motorola Edge 50 Fusion POLED 6.7 pulgadas,4201595,
1146094615,https://www.liverpool.com.mx/tienda/pdp/producto/1146094615?skuid=1146094615,PATISH,Xiaomi Redmi Note 12S AMOLED 6.4 pulgadas,Eliminado-42,
1149354278,https://www.liverpool.com.mx/tienda/pdp/producto/99967561509?skuid=1149354278,PATISH,Motorola Moto G84 POLED 6.5 pulgadas,4201657,99967561509
1150935411,https://www.liverpool.com.mx/tienda/pdp/producto/99968511443?skuid=1150935411,PATISH,Samsung Galaxy A05 LCD IPS 6.7 pulgadas,Eliminado-37,99968511443
1139770524,https://www.liverpool.com.mx/tienda/pdp/producto/99961469883?skuid=1139770524,PATISH,Xiaomi Redmi 12 LCD IPS 6.7 pulgadas,4201755,99961469883
1110191347,https://www.liverpool.com.mx/tienda/pdp/producto/1110191338?skuid=1110191347,PATISH,Smartwatch Samsung Watch 4 46 mm para hombre,4201569,1110191338
1160789910,https://www.liverpool.com.mx/tienda/pdp/producto/1160789910?skuid=1160789910,PATISH,Laptop Hp 14-DQ0760DX 14 pulgadas HD Intel Celeron Intel UHD 4 GB RAM,4201582,
1160801537,https://www.liverpool.com.mx/tienda/pdp/producto/1160801537?skuid=1160801537,PATISH,Tablet Xiaomi Pad 6 11 pulgadas de 6 GB RAM,4201577,
1160790250,https://www.liverpool.com.mx/tienda/pdp/producto/99974466997?skuid=1160790250,PATISH,Samsung Galaxy A55 Dual Sim 5G AMOLED 6.6 pulgadas,4201645,99974466997
1160788115,https://www.liverpool.com.mx/tienda/pdp/producto/99974466997?skuid=1160788115,PATISH,Samsung Galaxy A55 Dual Sim 5G AMOLED 6.6 pulgadas,4201644,99974466997
1160790225,https://www.liverpool.com.mx/tienda/pdp/producto/99974466997?skuid=1160790225,PATISH,Samsung Galaxy A55 Dual Sim 5G AMOLED 6.6 pulgadas,4201640,99974466997
1160816071,https://www.liverpool.com.mx/tienda/pdp/producto/99974491969?skuid=1160816071,PATISH,Samsung s23 fe dynamic amoled 2x 6.4 pulgadas nuevo,4201653_4200087,99974491969
1160816089,https://www.liverpool.com.mx/tienda/pdp/producto/99974491969?skuid=1160816089,PATISH,Samsung s23 fe dynamic amoled 2x 6.4 pulgadas nuevo,Eliminado220,99974491969
1160790268,https://www.liverpool.com.mx/tienda/pdp/producto/99974466997?skuid=1160790268,PATISH,Samsung Galaxy A55 Dual Sim 5G AMOLED 6.6 pulgadas,4201647/4201646-Azul Marino 128GB,99974466997
1160789189,https://www.liverpool.com.mx/tienda/pdp/producto/99974466997?skuid=1160789189,PATISH,Samsung Galaxy A55 Dual Sim 5G AMOLED 6.6 pulgadas,4201641,99974466997
1160790241,https://www.liverpool.com.mx/tienda/pdp/producto/99974466997?skuid=1160790241,PATISH,Samsung Galaxy A55 Dual Sim 5G AMOLED 6.6 pulgadas,4201643,99974466997
1160790233,https://www.liverpool.com.mx/tienda/pdp/producto/99974466997?skuid=1160790233,PATISH,Samsung Galaxy A55 Dual Sim 5G AMOLED 6.6 pulgadas,4201642,99974466997
1160975918,https://www.liverpool.com.mx/tienda/pdp/producto/1160975918?skuid=1160975918,PATISH,Motorola Moto G34 5G LCD IPS 6.5 pulgadas,4201583,
1161017732,https://www.liverpool.com.mx/tienda/pdp/producto/1161017732?skuid=1161017732,PATISH,Motorola Moto G73 5G LCD IPS 6.5 pulgadas,4201707_4200087,
1161017759,https://www.liverpool.com.mx/tienda/pdp/producto/1161017759?skuid=1161017759,PATISH,Motorola Moto G31 AMOLED 6.4 pulgadas,4201935_4200087,
1161020741,https://www.liverpool.com.mx/tienda/pdp/producto/99974582308?skuid=1161020741,PATISH,Smartwatch Samsung Watch 5 Pro reacondicionado,4201589-Negro 45mm,99974582308
1161020733,https://www.liverpool.com.mx/tienda/pdp/producto/99974582308?skuid=1161020733,PATISH,Smartwatch Samsung Watch 5 Pro reacondicionado,4201588,99974582308
1161090197,https://www.liverpool.com.mx/tienda/pdp/producto/1161090197?skuid=1161090197,PATISH,Xiaomi Redmi 13 Nfc LCD IPS 6.7 pulgadas,4201575,
1161069538,https://www.liverpool.com.mx/tienda/pdp/producto/1161069538?skuid=1161069538,PATISH,Xiaomi Redmi 13 Nfc LCD IPS 6.7 pulgadas,4201576,
1161089482,https://www.liverpool.com.mx/tienda/pdp/producto/99974628910?skuid=1161089482,PATISH,Motorola G54 12/256 5g LCD IPS 6.5 pulgadas,4201578,99974628910
